"","Q68","Q69","Q70","Q71","Q72","Q73","Q74","Q76","Q77","Q78","Q79","Q80","Q81","Q82"
"157",2,3,1,3,1,4,3,4,2,5,3,4,2,4
"158",2,3,1,3,1,4,3,3,4,4,2,3,3,3
"159",2,2,1,3,4,1,3,3,4,3,1,1,2,1
"160",4,2,1,3,1,2,4,4,3,4,1,3,3,3
"161",1,3,1,4,1,2,3,5,5,3,2,4,1,3
"162",1,2,1,3,1,1,3,2,1,1,1,3,2,1
"163",2,2,1,3,1,2,3,4,4,3,1,4,1,3
"164",1,2,2,1,1,1,2,1,1,2,2,2,1,1
"165",1,3,1,1,1,2,1,2,2,4,1,1,2,2
"166",5,4,3,4,1,3,4,4,5,4,4,3,2,2
"167",1,4,2,3,2,4,4,2,4,4,3,4,1,4
"168",4,3,4,4,2,1,2,5,4,2,3,4,1,3
"169",5,5,3,5,3,4,4,5,5,5,4,5,3,4
"170",1,1,1,3,1,1,2,1,4,2,1,3,2,2
"171",2,3,1,2,1,1,3,3,3,1,3,3,1,2
"172",2,4,2,4,2,3,3,4,4,3,4,1,1,3
"173",4,4,4,4,3,3,4,4,4,4,4,3,3,3
"174",2,3,4,4,3,2,4,4,5,3,3,5,3,3
"175",3,3,3,3,1,3,3,4,3,4,2,3,2,2
"176",1,3,2,1,2,2,2,1,1,3,2,3,1,2
"177",1,3,1,2,2,1,2,2,2,1,1,2,1,1
"178",3,1,1,1,1,2,5,4,3,1,1,5,3,5
"179",1,3,2,2,1,2,1,2,1,3,2,2,1,1
"180",5,4,3,4,3,4,5,5,5,5,3,5,3,5
"181",3,1,2,5,1,3,2,4,4,3,3,4,2,1
"182",1,2,1,1,1,3,2,1,2,3,1,2,1,1
"183",1,2,2,4,1,2,3,4,3,3,2,3,2,1
"184",2,3,3,3,2,3,3,3,4,4,4,4,3,3
"185",1,1,1,3,1,1,2,1,3,2,1,3,1,1
"186",1,2,1,2,1,2,2,3,2,2,2,3,1,1
"187",3,3,2,3,1,3,4,3,3,3,3,3,2,3
"188",1,3,1,1,1,1,1,3,3,1,1,3,1,1
"189",2,4,2,4,2,4,3,4,5,3,3,4,2,2
"190",4,3,1,5,1,4,5,5,5,5,1,5,3,5
"191",1,2,1,2,1,1,2,1,3,2,1,1,1,1
"192",1,3,2,3,1,2,2,3,4,3,2,4,1,2
